A|A|113|20230201|20230228|20230309|999|SISTEMA SAC         
A|B|074|000|PE|PC|II|EC|EI|SC|SI
E|C|074|000|20230224|20230222|NFE |147|016405|P|00000113|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000120490|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|05525     |1102  |051|0000000005000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000017500|      |CM|001|F|136|28022023|21022023|24557|00000000000|00000000000|26
E|C|074|000|20230217|20230216|NFE |1  |026845|P|00000218|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000106680|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|00425     |1403  |060|0000000010000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000063560|0000000000000|0000000063560|      |EB|001|F|218|28022023|17022023|26845|00000000000|00000000000|1
E|I|04189     |1403  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000001493|0000000000000|0000000001493|      |EB|001|F|218|28022023|17022023|26845|00000000000|00000000000|1
E|I|04136     |1403  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000008154|0000000000000|0000000008154|      |EB|001|F|218|28022023|17022023|26845|00000000000|00000000000|1
E|I|03735     |1403  |060|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000001493|0000000000000|0000000001493|      |EB|001|F|218|28022023|17022023|26845|00000000000|00000000000|1
E|I|05160     |1403  |060|0000000005000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000031780|0000000000000|0000000031780|      |EB|001|F|218|28022023|17022023|26845|00000000000|00000000000|1
E|C|074|000|20230208|20230207|NFE |6  |034196|P|00000055|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000100655|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|02797     |1102  |500|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000001100|      |CM|001|F|55|23022023|08022023|34196|00000000000|00000000000|6
E|I|02795     |1102  |500|0000000001000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000001100|      |CM|001|F|55|23022023|08022023|34196|00000000000|00000000000|6
