A|A|113|20200601|20200630|20200708|999|SISTEMA SAC         
C|C|691  |CANAVIEIRAS                             |BA|    |0000000|        01058041185010000000
C|C|692  |TAUBATE                                 |SP|    |0000000|        01058041185010000000
C|C|693  |CARMO DO PARANAIBA                      |MG|    |0000000|        01058041185010000000
C|C|694  |NOVA FRIBURGO                           |RJ|    |0000000|        01058041185010000000
C|C|695  |PIO IX                                  |PI|    |0000000|        01058041185010000000
C|C|696  |SANTA MARIA DE JETIBA                   |ES|    |0000000|        01058041185010000000
C|C|697  |SANTA HELENA DE MINAS                   |MG|    |0000000|        01058041185010000000
C|C|698  |ALEGRETE                                |RS|    |0000000|        01058041185010000000
C|C|699  |CARATINGA                               |MG|    |0000000|        01058041185010000000
C|C|700  |TELEMACO BORBA                          |PR|    |0000000|        01058041185010000000
C|C|701  |ANAJATUBA                               |MA|    |0000000|        01058041185010000000
C|C|702  |POJUCA                                  |BA|    |0000000|        01058041185010000000
C|C|703  |SAO JOSE DO RIO PRETO                   |SP|    |0000000|        01058041185010000000
C|C|704  |ITAPURA                                 |SP|    |0000000|        01058041185010000000
C|C|705  |SAO SIMAO                               |SP|    |0000000|        01058041185010000000
C|C|706  |IGARAPE-MIRI                            |PA|    |0000000|        01058041185010000000
C|C|707  |ARARIPINA                               |PE|    |0000000|        01058041185010000000
C|C|708  |POCO DAS ANTAS                          |RS|    |0000000|        01058041185010000000
C|C|709  |SANTA LUZIA                             |MA|    |0000000|        01058041185010000000
C|C|710  |GRAVATA                                 |PE|    |0000000|        01058041185010000000
C|C|711  |PEDRO CANARIO                           |ES|    |0000000|        01058041185010000000
C|C|712  |ITUETA                                  |MG|    |0000000|        01058041185010000000
C|C|713  |PIUMHI                                  |MG|    |0000000|        01058041185010000000
C|C|714  |TRES BARRAS DO PARANA                   |PR|    |0000000|        01058041185010000000
C|C|715  |SANTO ANTONIO DO MONTE                  |MG|    |0000000|        01058041185010000000
C|C|716  |CAMBARA DO SUL                          |RS|    |0000000|        01058041185010000000
C|C|717  |SAO LOURENCO DO SUL                     |RS|    |0000000|        01058041185010000000
C|C|718  |ALTAMIRA                                |PA|    |0000000|        01058041185010000000
C|C|719  |AGUA DOCE DO NORTE                      |ES|    |0000000|        01058041185010000000
C|C|720  |SOBRADINHO                              |RS|    |0000000|        01058041185010000000
C|C|721  |TAQUARUSSU                              |MS|    |0000000|        01058041185010000000
C|C|722  |PARANAVAI                               |PR|    |0000000|        01058041185010000000
C|C|723  |TAUA                                    |CE|    |0000000|        01058041185010000000
C|C|724  |SANTA MARIA DO HERVAL                   |RS|    |0000000|        01058041185010000000
C|C|725  |BELEM DO BREJO DO CRUZ                  |PB|    |0000000|        01058041185010000000
C|C|726  |VARZEA GRANDE                           |PI|    |0000000|        01058041185010000000
C|C|727  |JURUTI                                  |PA|    |0000000|        01058041185010000000
C|C|728  |ITAPERUNA                               |RJ|    |0000000|        01058041185010000000
C|C|729  |PENEDO                                  |AL|    |0000000|        01058041185010000000
C|C|730  |ARIQUEMES                               |RO|    |0000000|        01058041185010000000
C|C|731  |SIMAO DIAS                              |SE|    |0000000|        01058041185010000000
C|C|732  |PATOS                                   |PB|    |0000000|        01058041185010000000
C|C|733  |VICOSA                                  |RN|    |0000000|        01058041185010000000
C|C|734  |CAMPOS DOS GOYTACAZES                   |RJ|    |0000000|        01058041185010000000
C|C|735  |FREI ROGERIO                            |SC|    |0000000|        01058041185010000000
C|C|736  |DOUTOR RICARDO                          |RS|    |0000000|        01058041185010000000
C|C|737  |VALE DO PARAISO                         |RO|    |0000000|        01058041185010000000
C|C|738  |MANAUS                                  |AM|    |0000000|        01058013026030000000
C|C|739  |Sao Leopoldo                            |RS|    |0000000|        01058043187050000000
C|C|740  |VALINHOS                                |SP|    |0000000|        01058035562060000000
C|C|741  |FRANCA                                  |SP|    |0000000|        01058035162000000000
C|C|742  |MIRAIMA                                 |CE|    |0000000|        01058041185010000000
C|C|743  |ALTA FLORESTA D OESTE                   |RO|    |0000000|        01058041185010000000
C|C|744  |MESQUITA                                |RJ|    |0000000|        01058041185010000000
C|C|745  |LEOPOLDINA                              |MG|    |0000000|        01058041185010000000
C|C|746  |INHUMA                                  |PI|    |0000000|        01058041185010000000
C|C|747  |LUZ                                     |MG|    |0000000|        01058041185010000000
C|C|748  |BOM JARDIM                              |RJ|    |0000000|        01058041185010000000
C|C|749  |MIRADOR                                 |MA|    |0000000|        01058041185010000000
C|C|750  |SERRA DOS AIMORES                       |MG|    |0000000|        01058041185010000000
C|C|751  |BOM JESUS DA LAPA                       |BA|    |0000000|        01058041185010000000
C|C|752  |UTINGA                                  |BA|    |0000000|        01058041185010000000
C|C|753  |EMBU DAS ARTES                          |SP|    |0000000|        01058041185010000000
C|C|754  |JOSE BONIFACIO                          |SP|    |0000000|        01058041185010000000
C|C|755  |GUAPIMIRIM                              |RJ|    |0000000|        01058041185010000000
C|C|756  |ARARUNA                                 |PR|    |0000000|        01058041185010000000
C|C|757  |SANTA LUZIA                             |BA|    |0000000|        01058041185010000000
C|C|758  |TERRA RICA                              |PR|    |0000000|        01058041185010000000
C|C|759  |SAO JOSE DO RIO PARDO                   |SP|    |0000000|        01058041185010000000
C|C|760  |ITAPEVI                                 |SP|    |0000000|        01058041185010000000
C|C|761  |SAO CAETANO DO SUL                      |SP|    |0000000|        01058041185010000000
C|C|762  |SANTO ANTONIO DE PADUA                  |RJ|    |0000000|        01058041185010000000
C|C|763  |CAPIM GROSSO                            |BA|    |0000000|        01058041185010000000
C|C|764  |CANDEIAS DO JAMARI                      |RO|    |0000000|        01058041185010000000
C|C|765  |CICERO DANTAS                           |BA|    |0000000|        01058041185010000000
C|C|766  |CONCEICAO DA BARRA                      |ES|    |0000000|        01058041185010000000
C|C|767  |TATUI                                   |SP|    |0000000|        01058041185010000000
C|C|768  |GOIATUBA                                |GO|    |0000000|        01058041185010000000
C|C|769  |ILHEUS                                  |BA|    |0000000|        01058041185010000000
C|C|770  |XINGUARA                                |PA|    |0000000|        01058041185010000000
C|C|771  |ROSARIO DO SUL                          |RS|    |0000000|        01058041185010000000
C|C|772  |ITAPECERICA                             |MG|    |0000000|        01058041185010000000
C|C|773  |SERITINGA                               |MG|    |0000000|        01058041185010000000
C|C|774  |PORTO VELHO                             |RO|    |0000000|        01058041185010000000
C|C|775  |MARILIA                                 |SP|    |0000000|        01058041185010000000
C|C|776  |SAO FIDELIS                             |RJ|    |0000000|        01058041185010000000
C|C|777  |JEREMOABO                               |BA|    |0000000|        01058041185010000000
C|C|778  |FREI GASPAR                             |MG|    |0000000|        01058041185010000000
C|C|779  |CARUARU                                 |PE|    |0000000|        01058041185010000000
C|C|780  |BOCA DA MATA                            |AL|    |0000000|        01058041185010000000
C|C|781  |MAJOR ISIDORO                           |AL|    |0000000|        01058041185010000000
C|C|782  |PIRANHAS                                |AL|    |0000000|        01058041185010000000
C|C|783  |CACAPAVA DO SUL                         |RS|    |0000000|        01058041185010000000
C|C|784  |JACIARA                                 |MT|    |0000000|        01058041185010000000
C|C|785  |HORIZONTE                               |CE|    |0000000|        01058041185010000000
C|C|786  |BAIXO GUANDU                            |ES|    |0000000|        01058041185010000000
C|C|787  |VALPARAISO DE GOIAS                     |GO|    |0000000|        01058041185010000000
C|C|788  |BURITIS                                 |MG|    |0000000|        01058041185010000000
C|C|789  |TUTOIA                                  |MA|    |0000000|        01058041185010000000
C|C|790  |PARAGUACU                               |MG|    |0000000|        01058041185010000000
C|C|791  |OSORIO                                  |RS|    |0000000|        01058041185010000000
C|C|792  |TUCUMA                                  |PA|    |0000000|        01058041185010000000
C|C|793  |LAGAMAR                                 |MG|    |0000000|        01058041185010000000
C|C|794  |EDEIA                                   |GO|    |0000000|        01058041185010000000
C|C|795  |IAPU                                    |MG|    |0000000|        01058041185010000000
C|C|796  |CURVELO                                 |MG|    |0000000|        01058041185010000000
C|C|797  |ANDRELANDIA                             |MG|    |0000000|        01058041185010000000
C|C|798  |CARDOSO MOREIRA                         |RJ|    |0000000|        01058041185010000000
C|C|799  |CANDOI                                  |PR|    |0000000|        01058041185010000000
C|C|800  |LAGO DOS RODRIGUES                      |MA|    |0000000|        01058041185010000000
C|C|801  |TIRADENTES DO SUL                       |RS|    |0000000|        01058041185010000000
C|C|802  |CARANDAI                                |MG|    |0000000|        01058041185010000000
C|C|803  |CENTRAL DE MINAS                        |MG|    |0000000|        01058041185010000000
C|C|804  |GUANAMBI                                |BA|    |0000000|        01058041185010000000
C|C|805  |IBIA                                    |MG|    |0000000|        01058041185010000000
C|C|806  |COTIA                                   |SP|    |0000000|        01058041185010000000
C|C|807  |CAMACAN                                 |BA|    |0000000|        01058041185010000000
C|C|808  |SANTA MARIA DO SALTO                    |MG|    |0000000|        01058041185010000000
C|C|809  |UBERABA                                 |MG|    |0000000|        01058041185010000000
C|C|810  |SINIMBU                                 |RS|    |0000000|        01058041185010000000
C|C|811  |GUARUJA                                 |SP|    |0000000|        01058041185010000000
C|C|812  |MACAPA                                  |AP|    |0000000|        01058041185010000000
C|C|813  |PORTO SEGURO                            |BA|    |0000000|        01058041185010000000
C|C|814  |PRESIDENTE OLEGARIO                     |MG|    |0000000|        01058041185010000000
C|C|815  |PRESIDENTE TANCREDO NEVES               |BA|    |0000000|        01058041185010000000
C|C|816  |MARACAS                                 |BA|    |0000000|        01058041185010000000
C|C|817  |GONCALVES DIAS                          |MA|    |0000000|        01058041185010000000
C|C|818  |NOVA CRIXAS                             |GO|    |0000000|        01058041185010000000
C|C|819  |SERRA TALHADA                           |PE|    |0000000|        01058041185010000000
C|C|820  |APUAREMA                                |BA|    |0000000|        01058041185010000000
C|C|821  |CASTELO                                 |ES|    |0000000|        01058041185010000000
C|C|822  |PIMENTA                                 |MG|    |0000000|        01058041185010000000
C|C|823  |JANUARIA                                |MG|    |0000000|        01058041185010000000
C|C|824  |CABO FRIO                               |RJ|    |0000000|        01058041185010000000
C|C|825  |LAJEDINHO                               |BA|    |0000000|        01058041185010000000
C|C|826  |MONCAO                                  |MA|    |0000000|        01058041185010000000
C|C|827  |OURO FINO                               |MG|    |0000000|        01058041185010000000
C|C|828  |JAGUARAO                                |RS|    |0000000|        01058041185010000000
C|C|829  |MARABA                                  |PA|    |0000000|        01058041185010000000
C|C|830  |VIAMAO                                  |RS|    |0000000|        01058041185010000000
C|C|831  |SAPUCAIA                                |RJ|    |0000000|        01058041185010000000
C|C|832  |ANGRA DOS REIS                          |RJ|    |0000000|        01058041185010000000
C|C|833  |GAMELEIRAS                              |MG|    |0000000|        01058041185010000000
C|C|834  |CODO                                    |MA|    |0000000|        01058041185010000000
C|C|835  |SAO GABRIEL DO OESTE                    |MS|    |0000000|        01058041185010000000
C|C|836  |VICENTINOPOLIS                          |GO|    |0000000|        01058041185010000000
C|C|837  |ORIXIMINA                               |PA|    |0000000|        01058041185010000000
C|C|838  |ALEXANIA                                |GO|    |0000000|        01058041185010000000
C|C|839  |ITAARA                                  |RS|    |0000000|        01058041185010000000
C|C|840  |CORONEL FABRICIANO                      |MG|    |0000000|        01058041185010000000
C|C|841  |BARRO                                   |CE|    |0000000|        01058041185010000000
C|C|842  |ITABIRA                                 |MG|    |0000000|        01058041185010000000
C|C|843  |LAJEADO                                 |TO|    |0000000|        01058041185010000000
C|C|844  |OROBO                                   |PE|    |0000000|        01058041185010000000
C|C|845  |ENGENHEIRO PAULO DE FRONTIN             |RJ|    |0000000|        01058041185010000000
C|C|846  |CAPINZAL DO NORTE                       |MA|    |0000000|        01058041185010000000
C|C|847  |ACRELANDIA                              |AC|    |0000000|        01058041185010000000
C|C|848  |JI-PARANA                               |RO|    |0000000|        01058041185010000000
C|C|849  |FERNANDOPOLIS                           |SP|    |0000000|        01058041185010000000
C|C|850  |BALSA NOVA                              |PR|    |0000000|        01058041185010000000
C|C|851  |XEXEU                                   |PE|    |0000000|        01058041185010000000
C|C|852  |CANGUCU                                 |RS|    |0000000|        01058041185010000000
C|C|853  |PINHEIRO                                |MA|    |0000000|        01058041185010000000
C|C|854  |SAO MIGUEL DO TAPUIO                    |PI|    |0000000|        01058041185010000000
C|C|855  |LIMEIRA                                 |SP|    |0000000|        01058041185010000000
C|C|856  |BONINAL                                 |BA|    |0000000|        01058041185010000000
C|C|857  |ALAGOA GRANDE                           |PB|    |0000000|        01058041185010000000
C|C|858  |INDEPENDENCIA                           |CE|    |0000000|        01058041185010000000
C|C|859  |SAO GONCALO                             |RJ|    |0000000|        01058041185010000000
C|C|860  |PONTE NOVA                              |MG|    |0000000|        01058041185010000000
C|C|861  |CAMPO MOURAO                            |PR|    |0000000|        01058041185010000000
C|C|862  |CONSELHEIRO PENA                        |MG|    |0000000|        01058041185010000000
C|C|863  |SERRA                                   |ES|    |0000000|        01058041185010000000
C|C|864  |GOVERNADOR LINDENBERG                   |ES|    |0000000|        01058041185010000000
C|C|865  |ITAOCARA                                |RJ|    |0000000|        01058041185010000000
C|C|866  |ITAQUAQUECETUBA                         |SP|    |0000000|        01058035398060000000
C|C|867  |QUATIS                                  |RJ|    |0000000|        01058041185010000000
C|C|868  |ARRAIAL DO CABO                         |RJ|    |0000000|        01058041185010000000
C|C|869  |EUNAPOLIS                               |BA|    |0000000|        01058041185010000000
C|C|870  |FAZENDA NOVA                            |GO|    |0000000|        01058041185010000000
C|C|871  |SANTA HELENA DE GOIAS                   |GO|    |0000000|        01058041185010000000
C|C|872  |TAQUARANA                               |AL|    |0000000|        01058041185010000000
C|C|873  |SAQUAREMA                               |RJ|    |0000000|        01058041185010000000
C|C|874  |CHAPADAO DO SUL                         |MS|    |0000000|        01058041185010000000
C|C|875  |BREJETUBA                               |ES|    |0000000|        01058041185010000000
C|C|876  |RIBEIRAO DO PINHAL                      |PR|    |0000000|        01058041185010000000
C|C|877  |ARARANGUA                               |SC|    |0000000|        01058041185010000000
C|C|878  |PINHEIRAL                               |RJ|    |0000000|        01058041185010000000
C|C|879  |CRISTALIA                               |MG|    |0000000|        01058041185010000000
C|C|880  |TEOFILO OTONI                           |MG|    |0000000|        01058041185010000000
C|C|881  |NAZARE DO PIAUI                         |PI|    |0000000|        01058041185010000000
C|C|882  |MIRASSOL                                |SP|    |0000000|        01058041185010000000
C|C|883  |POUSO NOVO                              |RS|    |0000000|        01058041185010000000
C|C|884  |BURITIS                                 |RO|    |0000000|        01058041185010000000
C|C|885  |CAMPO BELO                              |MG|    |0000000|        01058041185010000000
C|C|886  |SANTA INES                              |BA|    |0000000|        01058041185010000000
C|C|887  |MONGAGUA                                |SP|    |0000000|        01058041185010000000
C|C|888  |ESPUMOSO                                |RS|    |0000000|        01058041185010000000
C|C|889  |VICOSA                                  |MG|    |0000000|        01058041185010000000
C|C|890  |CANTAGALO                               |RJ|    |0000000|        01058041185010000000
C|C|891  |NOVA IGUACU                             |RJ|    |0000000|        01058041185010000000
C|C|892  |URUGUAIANA                              |RS|    |0000000|        01058041185010000000
C|C|893  |SANTANA DO PARAISO                      |MG|    |0000000|        01058041185010000000
C|C|894  |INUBIA PAULISTA                         |SP|    |0000000|        01058041185010000000
C|C|895  |BARRA DO CORDA                          |MA|    |0000000|        01058041185010000000
C|C|896  |MOGI DAS CRUZES                         |SP|    |0000000|        01058041185010000000
C|C|897  |BELEM                                   |PA|    |0000000|        01058041185010000000
C|C|898  |CAETE                                   |MG|    |0000000|        01058041185010000000
C|C|899  |AQUIDAUANA                              |MS|    |0000000|        01058041185010000000
C|C|900  |OLHO-D AGUA DO BORGES                   |RN|    |0000000|        01058041185010000000
C|C|901  |JAURU                                   |MT|    |0000000|        01058041185010000000
C|C|902  |PONTAL                                  |SP|    |0000000|        01058041185010000000
C|C|903  |JUREMA                                  |PE|    |0000000|        01058041185010000000
C|C|904  |PAULO RAMOS                             |MA|    |0000000|        01058041185010000000
C|C|905  |BOQUEIRAO DO PIAUI                      |PI|    |0000000|        01058041185010000000
C|C|906  |SAO BENTO DO UNA                        |PE|    |0000000|        01058041185010000000
C|C|907  |ITAITUBA                                |PA|    |0000000|        01058041185010000000
C|C|908  |NILOPOLIS                               |RJ|    |0000000|        01058041185010000000
C|C|909  |ENGENHEIRO NAVARRO                      |MG|    |0000000|        01058041185010000000
C|C|910  |IPABA                                   |MG|    |0000000|        01058041185010000000
C|C|911  |NOVO GAMA                               |GO|    |0000000|        01058041185010000000
C|C|912  |RIO REAL                                |BA|    |0000000|        01058041185010000000
C|C|913  |PALMARES                                |PE|    |0000000|        01058041185010000000
C|C|914  |ITIRAPINA                               |SP|    |0000000|        01058041185010000000
C|C|915  |CARMOLANDIA                             |TO|    |0000000|        01058041185010000000
C|C|916  |PINHEIRO MACHADO                        |RS|    |0000000|        01058041185010000000
C|C|917  |ITAREMA                                 |CE|    |0000000|        01058041185010000000
C|C|918  |SANTA MARIA DE ITABIRA                  |MG|    |0000000|        01058041185010000000
C|C|919  |BOM JESUS DO SUL                        |PR|    |0000000|        01058041185010000000
C|C|920  |MAUA DA SERRA                           |PR|    |0000000|        01058041185010000000
C|C|921  |CEREJEIRAS                              |RO|    |0000000|        01058041185010000000
C|C|922  |GUANHAES                                |MG|    |0000000|        01058041185010000000
C|C|923  |CAICO                                   |RN|    |0000000|        01058041185010000000
C|C|924  |PARANATINGA                             |MT|    |0000000|        01058041185010000000
C|C|925  |DOURADOS                                |MS|    |0000000|        01058041185010000000
C|C|926  |PIRACURUCA                              |PI|    |0000000|        01058041185010000000
C|C|927  |RIO POMBA                               |MG|    |0000000|        01058041185010000000
C|C|928  |SAO LUIS                                |MA|    |0000000|        01058041185010000000
C|C|929  |PELOTAS                                 |RS|    |0000000|        01058041185010000000
C|C|930  |SAO PEDRO DO IVAI                       |PR|    |0000000|        01058041185010000000
C|C|931  |TUCANO                                  |BA|    |0000000|        01058041185010000000
C|C|932  |SANTO AMARO DA IMPERATRIZ               |SC|    |0000000|        01058041185010000000
C|C|933  |TERRA DE AREIA                          |RS|    |0000000|        01058041185010000000
C|C|934  |PARNAIBA                                |PI|    |0000000|        01058041185010000000
C|C|935  |BARRA DE GUABIRABA                      |PE|    |0000000|        01058041185010000000
C|C|936  |IMARUI                                  |SC|    |0000000|        01058041185010000000
C|C|937  |PIRAI                                   |RJ|    |0000000|        01058041185010000000
C|C|938  |GUARACIABA                              |MG|    |0000000|        01058041185010000000
C|C|939  |PARACATU                                |MG|    |0000000|        01058041185010000000
C|C|940  |CANDIDO MOTA                            |SP|    |0000000|        01058041185010000000
C|C|941  |ITUBERA                                 |BA|    |0000000|        01058041185010000000
C|C|942  |TEIXEIRAS                               |MG|    |0000000|        01058041185010000000
C|C|943  |ALTO ALEGRE DO PINDARE                  |MA|    |0000000|        01058041185010000000
C|C|944  |VILA VELHA                              |ES|    |0000000|        01058041185010000000
C|C|945  |ARROIO GRANDE                           |RS|    |0000000|        01058041185010000000
C|C|946  |CHUI                                    |RS|    |0000000|        01058041185010000000
C|C|947  |IPATINGA                                |MG|    |0000000|        01058041185010000000
C|C|948  |TAPIRAI                                 |SP|    |0000000|        01058041185010000000
C|C|949  |FRANCISCO MORATO                        |SP|    |0000000|        01058041185010000000
C|C|950  |PIRAPORA                                |MG|    |0000000|        01058041185010000000
C|C|951  |GUAJARA-MIRIM                           |RO|    |0000000|        01058041185010000000
C|C|952  |SANTANA DE PARNAIBA                     |SP|    |0000000|        01058041185010000000
C|C|953  |TUPACIGUARA                             |MG|    |0000000|        01058041185010000000
C|C|954  |GUAJARA                                 |AM|    |0000000|        01058041185010000000
C|C|955  |JAGUARIUNA                              |SP|    |0000000|        01058041185010000000
C|C|956  |REGISTRO                                |SP|    |0000000|        01058041185010000000
C|C|957  |VALE DO ANARI                           |RO|    |0000000|        01058041185010000000
C|C|958  |BOCAIUVA DO SUL                         |PR|    |0000000|        01058041185010000000
C|C|959  |PRESIDENTE MEDICI                       |RO|    |0000000|        01058041185010000000
C|C|960  |RODEIO                                  |SC|    |0000000|        01058041185010000000
C|C|961  |COLONIA LEOPOLDINA                      |AL|    |0000000|        01058041185010000000
C|C|962  |SANTO ANTONIO                           |RN|    |0000000|        01058041185010000000
C|C|963  |NAVEGANTES                              |SC|    |0000000|        01058041185010000000
C|C|964  |SAO PEDRO DO SUL                        |RS|    |0000000|        01058041185010000000
C|C|965  |BONITO DE MINAS                         |MG|    |0000000|        01058041185010000000
C|C|966  |ITAGUARA                                |MG|    |0000000|        01058041185010000000
C|C|967  |URUCUIA                                 |MG|    |0000000|        01058041185010000000
C|C|968  |CURIONOPOLIS                            |PA|    |0000000|        01058041185010000000
C|C|969  |AMERICANA                               |SP|    |0000000|        01058041185010000000
C|C|970  |ANTONINA                                |PR|    |0000000|        01058041185010000000
C|C|971  |URBANO SANTOS                           |MA|    |0000000|        01058041185010000000
C|C|972  |JOAO PESSOA                             |PB|    |0000000|        01058041185010000000
C|C|973  |MACEIO                                  |AL|    |0000000|        01058041185010000000
C|C|974  |MACAE                                   |RJ|    |0000000|        01058041185010000000
C|C|975  |LUISLANDIA                              |MG|    |0000000|        01058041185010000000
C|C|976  |IGUAPE                                  |SP|    |0000000|        01058041185010000000
C|C|977  |AGUAS LINDAS DE GOIAS                   |GO|    |0000000|        01058041185010000000
C|C|978  |SAO JOAO BATISTA                        |MA|    |0000000|        01058041185010000000
C|C|979  |LONTRA                                  |MG|    |0000000|        01058041185010000000
C|C|980  |PARAUAPEBAS                             |PA|    |0000000|        01058041185010000000
C|C|981  |CANAA DOS CARAJAS                       |PA|    |0000000|        01058041185010000000
C|C|982  |JACARACI                                |BA|    |0000000|        01058041185010000000
C|C|983  |BERTIOGA                                |SP|    |0000000|        01058041185010000000
C|C|984  |FARROUPILHA                             |RS|    |0000000|        01058041185010000000
C|C|985  |SAO DESIDERIO                           |BA|    |0000000|        01058041185010000000
C|C|986  |CAPELA NOVA                             |MG|    |0000000|        01058041185010000000
C|C|987  |BREU BRANCO                             |PA|    |0000000|        01058041185010000000
C|C|988  |PIRIPIRI                                |PI|    |0000000|        01058041185010000000
C|C|989  |IBAITI                                  |PR|    |0000000|        01058041185010000000
C|C|990  |VARZEA DA PALMA                         |MG|    |0000000|        01058041185010000000
C|C|991  |BREJO DA MADRE DE DEUS                  |PE|    |0000000|        01058041185010000000
C|C|992  |CENTRO NOVO DO MARANHAO                 |MA|    |0000000|        01058041185010000000
C|C|993  |BARREIRINHAS                            |MA|    |0000000|        01058041185010000000
C|C|994  |ANTONIO CARLOS                          |MG|    |0000000|        01058041185010000000
C|C|995  |CANUTAMA                                |AM|    |0000000|        01058041185010000000
C|C|996  |PASSA TEMPO                             |MG|    |0000000|        01058041185010000000
C|C|997  |GOVERNADOR VALADARES                    |MG|    |0000000|        01058041185010000000
C|C|998  |CAMPO DO BRITO                          |SE|    |0000000|        01058041185010000000
C|C|999  |ITAMONTE                                |MG|    |0000000|        01058041185010000000
C|C|1000 |PASSIRA                                 |PE|    |0000000|        01058041185010000000
C|C|1001 |RIBEIRAO BRANCO                         |SP|    |0000000|        01058041185010000000
C|C|1002 |REDENCAO                                |PA|    |0000000|        01058041185010000000
C|C|1003 |SANTAREM                                |PA|    |0000000|        01058041185010000000
C|C|1004 |MATAO                                   |SP|    |0000000|        01058041185010000000
C|C|1005 |CORUMBA                                 |MS|    |0000000|        01058041185010000000
C|C|1006 |BARAO DE COCAIS                         |MG|    |0000000|        01058041185010000000
C|C|1007 |MURIAE                                  |MG|    |0000000|        01058041185010000000
C|C|1008 |ITAPEMA                                 |SC|    |0000000|        01058041185010000000
C|C|1009 |OURO PRETO                              |MG|    |0000000|        01058041185010000000
C|C|1010 |ACAJUTIBA                               |BA|    |0000000|        01058041185010000000
C|C|1011 |ARAPUA                                  |MG|    |0000000|        01058041185010000000
C|C|1012 |ITAPOA                                  |SC|    |0000000|        01058041185010000000
C|C|1013 |CARPINA                                 |PE|    |0000000|        01058041185010000000
C|C|1014 |QUEIMADAS                               |PB|    |0000000|        01058041185010000000
C|C|1015 |CONCEICAO DO MATO DENTRO                |MG|    |0000000|        01058041185010000000
C|C|1016 |CRAVINHOS                               |SP|    |0000000|        01058041185010000000
C|C|1017 |ITAPEVA                                 |SP|    |0000000|        01058041185010000000
C|C|1018 |SAO BENTO DO SUL                        |SC|    |0000000|        01058041185010000000
C|C|1019 |NIQUELANDIA                             |GO|    |0000000|        01058041185010000000
C|C|1020 |ITABORAI                                |RJ|    |0000000|        01058041185010000000
C|C|1021 |NANUQUE                                 |MG|    |0000000|        01058041185010000000
C|C|1022 |MARATAIZES                              |ES|    |0000000|        01058041185010000000
C|C|1023 |BRASILIA DE MINAS                       |MG|    |0000000|        01058041185010000000
C|C|1024 |RAPOSA                                  |MA|    |0000000|        01058041185010000000
C|C|1025 |FAZENDA RIO GRANDE                      |PR|    |0000000|        01058041185010000000
C|C|1026 |MATA ROMA                               |MA|    |0000000|        01058041185010000000
C|C|1027 |ICARAIMA                                |PR|    |0000000|        01058041185010000000
C|C|1028 |ARAIOSES                                |MA|    |0000000|        01058041185010000000
C|C|1029 |NOVA VICOSA                             |BA|    |0000000|        01058041185010000000
C|C|1030 |QUISSAMA                                |RJ|    |0000000|        01058041185010000000
C|C|1031 |BARRA MANSA                             |RJ|    |0000000|        01058041185010000000
C|C|1032 |SANTA RITA DE MINAS                     |MG|    |0000000|        01058041185010000000
C|C|1033 |BEBERIBE                                |CE|    |0000000|        01058041185010000000
C|C|1034 |SANTA EFIGENIA DE MINAS                 |MG|    |0000000|        01058041185010000000
C|C|1035 |BODOQUENA                               |MS|    |0000000|        01058041185010000000
C|C|1036 |LAJEADO                                 |RS|    |0000000|        01058041185010000000
C|C|1037 |ITURAMA                                 |MG|    |0000000|        01058041185010000000
C|C|1038 |RIO MARIA                               |PA|    |0000000|        01058041185010000000
C|C|1039 |NOVA TRENTO                             |SC|    |0000000|        01058041185010000000
C|C|1040 |SÃ?O PAULO                              |SP|    |0000000|        01058035503080000000
C|C|1041 |ANAPOLIS                                |GO|    |0000000|        01058041185010000000
C|C|1042 |MAUA                                    |SP|    |0000000|        01058041185010000000
C|C|1043 |IPANEMA                                 |MG|    |0000000|        01058041185010000000
C|C|1044 |MORRO DO CHAPEU                         |BA|    |0000000|        01058041185010000000
C|C|1045 |MIRIM DOCE                              |SC|    |0000000|        01058041185010000000
C|C|1046 |BARRO DURO                              |PI|    |0000000|        01058041185010000000
C|C|1047 |MOCAJUBA                                |PA|    |0000000|        01058041185010000000
C|C|1048 |SAO JOSE DO NORTE                       |RS|    |0000000|        01058041185010000000
C|C|1049 |MORRINHOS DO SUL                        |RS|    |0000000|        01058041185010000000
C|C|1050 |MIGUEL CALMON                           |BA|    |0000000|        01058041185010000000
C|C|1051 |SANTA CRUZ DO CAPIBARIBE                |PE|    |0000000|        01058041185010000000
C|C|1052 |PIRACICABA                              |SP|    |0000000|        01058041185010000000
C|C|1053 |HUGO NAPOLEAO                           |PI|    |0000000|        01058041185010000000
C|C|1054 |ITACARE                                 |BA|    |0000000|        01058041185010000000
C|C|1055 |XAMBIOA                                 |TO|    |0000000|        01058041185010000000
C|C|1056 |MARICA                                  |RJ|    |0000000|        01058041185010000000
C|C|1057 |JABOTICATUBAS                           |MG|    |0000000|        01058041185010000000
C|C|1058 |SONORA                                  |MS|    |0000000|        01058041185010000000
C|C|1059 |GOVERNADOR EUGENIO BARROS               |MA|    |0000000|        01058041185010000000
C|C|1060 |JUQUIA                                  |SP|    |0000000|        01058041185010000000
C|C|1061 |FORMIGUEIRO                             |RS|    |0000000|        01058041185010000000
C|C|1062 |ACOPIARA                                |CE|    |0000000|        01058041185010000000
C|C|1063 |DARCINOPOLIS                            |TO|    |0000000|        01058041185010000000
C|C|1064 |ITAMBE DO MATO DENTRO                   |MG|    |0000000|        01058041185010000000
C|C|1065 |TIMBAUBA                                |PE|    |0000000|        01058041185010000000
